date,drawdown_scalar,target_vol_scalar,trend_scalar,final_risk_scalar,gross_exposure,risky_exposure,defensive_cash_proxy_exposure,turnover_cap_bound,reentry_state
2018-04-27,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-02,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-03,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-04,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-07,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-08,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-09,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-10,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-11,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-14,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-15,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-16,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-17,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-18,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-21,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-22,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-23,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-24,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-25,1.0,1.0,0.95,0.95,0.9810791321485437,0.9810791321485437,0.018920867851456302,True,0.95
2018-05-31,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-01,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-04,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-05,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-06,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-07,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-08,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-11,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-12,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-13,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-14,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-15,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-19,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-20,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-21,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-22,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-25,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-26,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-27,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-28,1.0,1.0,0.95,0.95,0.9730653565804388,0.9730653565804388,0.0269346434195612,True,0.95
2018-06-29,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-02,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-03,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-04,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-05,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-06,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-09,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-10,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-11,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-12,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-13,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-16,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-17,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-18,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-19,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-20,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-23,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-24,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-25,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-26,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-27,1.0,1.0,0.95,0.95,0.9629786925564914,0.9629786925564914,0.03702130744350862,True,0.95
2018-07-31,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-01,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-02,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-03,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-06,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-07,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-08,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-09,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-10,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-13,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-14,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-15,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-16,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-17,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-20,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-21,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-22,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-23,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-24,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-27,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-28,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-29,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-30,1.0,1.0,0.95,0.95,0.9980181006493676,0.9980181006493676,0.001981899350632421,True,0.95
2018-08-31,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-03,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-04,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-05,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-06,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-07,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-10,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-11,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-12,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-13,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-14,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-17,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-18,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-19,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-20,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-21,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-25,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-26,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-27,1.0,1.0,0.95,0.95,0.9621710607937931,0.9621710607937931,0.03782893920620689,True,0.95
2018-09-28,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-08,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-09,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-10,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-11,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-12,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-15,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-16,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-17,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-18,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-19,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-22,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-23,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-24,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-25,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-26,1.0,1.0,0.95,0.95,0.9500646539417152,0.9500646539417152,0.04993534605828476,False,0.95
2018-10-31,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-01,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-02,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-05,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-06,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-07,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-08,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-09,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-12,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-13,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-14,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-15,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-16,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-19,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-20,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-21,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-22,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-23,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-26,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-27,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-28,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-29,1.0,1.0,0.95,0.95,0.950235424265095,0.950235424265095,0.049764575734905,False,0.95
2018-11-30,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-03,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-04,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-05,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-06,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-07,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-10,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-11,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-12,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-13,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-14,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-17,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-18,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-19,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-20,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-21,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-24,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-25,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-26,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-27,1.0,1.0,0.95,0.95,0.9508219203142383,0.9508219203142383,0.04917807968576171,True,0.95
2018-12-28,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-02,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-03,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-04,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-07,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-08,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-09,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-10,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-11,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-14,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-15,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-16,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-17,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-18,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-21,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-22,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-23,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-24,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-25,1.0,1.0,0.95,0.95,0.9503133827456987,0.9503133827456987,0.049686617254301346,True,0.95
2019-01-31,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-01,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-11,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-12,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-13,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-14,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-15,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-18,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-19,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-20,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-21,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-22,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-25,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-26,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-27,1.0,1.0,0.95,0.95,0.9504078772374622,0.9504078772374622,0.04959212276253777,True,0.95
2019-02-28,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-01,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-04,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-05,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-06,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-07,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-08,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-11,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-12,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-13,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-14,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-15,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-18,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-19,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-20,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-21,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-22,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-25,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-26,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-27,1.0,1.0,0.95,0.95,0.9581867341752376,0.9581867341752376,0.04181326582476241,True,0.95
2019-03-29,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-01,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-02,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-03,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-04,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-08,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-09,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-10,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-11,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-12,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-15,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-16,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-17,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-18,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-19,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-22,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
2019-04-23,1.0,1.0,0.95,0.95,1.0255719337432236,1.0255719337432236,0.0,True,0.95
